Gene	Chrom	Start	End	Coding
VAR	chr1	29510	37126	Coding
RIF	chr1	38982	40207	Coding
VAR	chr1	42367	46507	Coding
RIF	chr1	50363	51636	Coding
RIF	chr1	53778	55006	Coding
PF3D7_0100700	chr1	56690	56893	Coding
RIF	chr1	59772	61003	Coding
RIF	chr1	62187	63400	Coding
RIF	chr1	65817	66989	Coding
EPF4	chr1	69304	70417	Coding
EPF3	chr1	71624	72426	Coding
MC-2TM	chr1	74295	75622	Coding
RIF	chr1	81765	83106	Coding
PF3D7_0101800	chr1	87203	88177	Coding
RIF	chr1	90242	91420	Coding
RESA	chr1	97590	103615	Coding
PF3D7_0102300	chr1	104058	105792	Coding
EBA181	chr1	109005	117516	Coding
FIKK1	chr1	118812	122534	Coding
MaTrA	chr1	124394	126213	Coding
PF3D7_0102800	chr1	125835	128373	Coding
PF3D7_0102900	chr1	128569	131554	Coding
PF3D7_0103000	chr1	131609	134133	Coding
VPS51	chr1	134155	140371	Coding
NT4	chr1	140494	143049	Coding
PF3D7_0103300	chr1	143389	146959	Coding
PF3D7_0103400	chr1	147031	152795	Coding
PF3D7_0103500	chr1	153669	160630	Coding
PSH1	chr1	160673	166273	Coding
PSTK	chr1	166497	168687	Coding
ARP1	chr1	168768	171442	Coding
PIESP15	chr1	172470	175055	Coding
TRSP	chr1	175609	176376	Coding
PF3D7_0104100	chr1	177187	181825	Coding
PF3D7_0104200	chr1	182205	184820	Coding
UBP1	chr1	188420	201324	Coding
LytB	chr1	201354	204250	Coding
PF3D7_0104500	chr1	204368	205612	Coding
PF3D7_0104600	chr1	205812	210273	Coding
MFR2	chr1	210870	213005	Coding
NPT1	chr1	215143	217616	Coding
PF3D7_0105100	chr1	220727	221928	Coding
PF3D7_0105200	chr1	222086	224501	Coding
CAP	chr1	224638	226017	Coding
PF3D7_0105400	chr1	226036	227419	Coding
PF3D7_0105500	chr1	228485	229519	Coding
PF3D7_0105600	chr1	229943	234464	Coding
PF3D7_0105700	chr1	236742	248183	Coding
PF3D7_0105800	chr1	248434	253057	Coding
PF3D7_0105900	chr1	253089	255771	Coding
PF3D7_0106000	chr1	255113	258624	Coding
PF3D7_0106100	chr1	260105	262008	Coding
PF3D7_0106200	chr1	262750	264323	Coding
ATP6	chr1	264487	270234	Coding
PF3D7_0106400	chr1	272296	273701	Coding
PF3D7_0106500	chr1	274094	278747	Coding
PF3D7_0106600	chr1	279115	280014	Coding
AARP2	chr1	280595	285875	Coding
RAB5c	chr1	286637	289063	Coding
IspD	chr1	289849	292802	Coding
CEN1	chr1	293262	295139	Coding
PF3D7_0107100	chr1	295177	296959	Coding
CCR4-3	chr1	297189	299513	Coding
PF3D7_0107300	chr1	299464	301151	Coding
ATPk	chr1	302509	304236	Coding
NCR1	chr1	303437	311928	Coding
eIK2	chr1	313824	319525	Coding
PF3D7_0107700	chr1	320168	321508	Coding
MRE11	chr1	321757	326180	Coding
PF3D7_0107900	chr1	326323	327365	Coding
PF3D7_0108000	chr1	328171	329995	Coding
PF3D7_0108100	chr1	330597	332834	Coding
ARP	chr1	334374	344369	Coding
PF3D7_0108400	chr1	344373	347320	Coding
PF3D7_0108500	chr1	347246	350568	Coding
PF3D7_0108600	chr1	348892	351747	Coding
PSOP24	chr1	351787	356984	Coding
PF3D7_0108800	chr1	357279	360804	Coding
PHIL1	chr1	362217	365209	Coding
CCp5	chr1	365266	369336	Coding
CFIM25	chr1	369251	370907	Coding
PF3D7_0109300	chr1	371146	373063	Coding
PF3D7_0109400	chr1	373864	375683	Coding
PF3D7_0109500	chr1	376164	377704	Coding
CoSP	chr1	377795	378599	Coding
RRP36	chr1	378653	380086	Coding
cPheRS	chr1	380254	382568	Coding
PF3D7_0109850	chr1	383092	386632	Coding
C2AP3	chr1	386708	388186	Coding
PF3D7_0110000	chr1	388192	389559	Coding
SELB	chr1	388887	392185	Coding
ERV1	chr1	392323	393620	Coding
RPB9	chr1	393695	395222	Coding
BDP3	chr1	396580	403838	Coding
PIP5K	chr1	405007	412453	Coding
CAF1C	chr1	413076	417001	Coding
PF3D7_0110800	chr1	417254	420218	Coding
AKLP1	chr1	419727	420942	Coding
PF3D7_0111000	chr1	421025	428878	Coding
PF3D7_0111200	chr1	429849	430879	Coding
PF3D7_0111300	chr1	431167	436457	Coding
GEXP19	chr1	436179	439368	Coding
