Gene	Chrom	Start	End	Coding
PF3D7_0100500	1	53169	53280	0
PF3D7_0100700	1	56690	56893	1
PF3D7_0101800	1	87203	88177	1
PF3D7_0102000	1	93113	93875	0
PF3D7_0102100	1	95050	95899	0
RESA	1	97590	103615	1
PF3D7_0102300	1	104058	105792	1
PF3D7_0102400	1	107197	108348	0
EBA181	1	109005	117516	1
FIKK1	1	118812	122534	1
MaTrA	1	124394	126213	1
PF3D7_0102800	1	125835	128373	1
PF3D7_0102900	1	128569	131554	1
PF3D7_0103000	1	131609	134133	1
VPS51	1	134155	140371	1
NT4	1	140494	143049	1
PF3D7_0103300	1	143389	146959	1
PF3D7_0103400	1	147031	152795	1
PF3D7_0103500	1	153669	160630	1
PSH1	1	160673	166273	1
PSTK	1	166497	168687	1
ARP1	1	168768	171442	1
PIESP15	1	172470	175055	1
TRSP	1	175609	176376	1
PF3D7_0104100	1	177187	181825	1
PF3D7_0104200	1	182205	184820	1
UBP1	1	188420	201324	1
LytB	1	201354	204250	1
PF3D7_0104500	1	204368	205612	1
PF3D7_0104600	1	205812	210273	1
MFR2	1	210870	213005	1
NPT1	1	215143	217616	1
PF3D7_0104900	1	218517	218824	0
PF3D7_0105000	1	218894	219223	0
PF3D7_0105100	1	220727	221928	1
PF3D7_0105200	1	222086	224501	1
CAP	1	224638	226017	1
PF3D7_0105400	1	226036	227419	1
PF3D7_0105500	1	228485	229519	1
PF3D7_0105600	1	229943	234464	1
PF3D7_0105700	1	236742	248183	1
PF3D7_0105800	1	248434	253057	1
PF3D7_0105900	1	253089	255771	1
PF3D7_0106000	1	255113	258624	1
PF3D7_0106100	1	260105	262008	1
PF3D7_0106200	1	262750	264323	1
ATP6	1	264487	270234	1
PF3D7_0106400	1	272296	273701	1
PF3D7_0106500	1	274094	278747	1
PF3D7_0106600	1	279115	280014	1
AARP2	1	280595	285875	1
RAB5c	1	286637	289063	1
IspD	1	289849	292802	1
CEN1	1	293262	295139	1
PF3D7_0107100	1	295177	296959	1
CCR4-3	1	297189	299513	1
PF3D7_0107300	1	299464	301151	1
ATPk	1	302509	304236	1
NCR1	1	303437	311928	1
eIK2	1	313824	319525	1
PF3D7_0107700	1	320168	321508	1
MRE11	1	321757	326180	1
PF3D7_0107900	1	326323	327365	1
PF3D7_0108000	1	328171	329995	1
PF3D7_0108100	1	330597	332834	1
